bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000081,20,0,0.8,3,6,240000,0,4,0.93,7,0,0,,保证,否,自置,10,0.6,0,0
BAD,A000082,20,1,0.78,0,3,10000,4,8,0.52,9,1,6,,保证,是,自置,6,0.27,0,0
BAD,A000083,20,1,0.63,3,5,490341.3188,1,2,0.96,3,0,0,,保证,否,自置,3,0.6,0,2.8569632766
GOOD,A000084,20,0,0.83,7,7,40000,1,2,0.95,5,0,0,,保证,否,自置,14,0.21,0,0.6066427652
BAD,A000085,20,1,0.65,2,8,100000,1,2,0.92,7,1,0,,保证,否,自置,5,0.14,0,1.4891869353
GOOD,A000086,10/MISS,0,,,,,,,,,,,,抵押,,自置,8,10,1,5.5
GOOD,A000087,10/MISS,0,0.68,1,4,3900,0,3,1,8,0,1,,保证,否,自置,6,0.67,0,12.926660591
GOOD,A000088,10/MISS,0,0.52,2,3,2000,1,2,0.95,8,0,0,,保证,否,自置,3,1,0,1.1868497053
BAD,A000089,20,1,0.77,4,4,150000,1,2,0.95,6,0,0,,保证,否,自置,3,0.19,0,0
GOOD,A000090,20,0,0.39,3,6,445000,1,3,0.93,7,0,0,,保证,否,其他,10,0.14,0,0
BAD,A000091,10/MISS,1,,,,,,,,,,,,抵押,,自置,25,10,2.02,10
GOOD,A000092,20,0,0.54,10,6,490341.3188,1,2,0.96,10,1,2,,保证,否,自置,22,0.23,0,0
GOOD,A000093,10/MISS,0,0.84,2,3,300000,1,2,0.92,3,0,0,,保证,否,自置,6,10,0,1.3804795492
BAD,A000094,20,1,0.68,2,3,490341.3188,3,5,0.95,9,0,0,,保证,否,自置,7,0.3,0,0
BAD,A000095,20,1,0.7,0,1,50000,7,12,0.81,10,1,4,179.91,保证,否,自置,14,0.26,0,0
GOOD,A000096,20,0,0.93,9,11,0,1,3,0.94,5,0,0,,保证,否,自置,17,10,0,1.5009223168
GOOD,A000097,20,0,,,,,,,,,,,,保证,,自置,7,10,0,20
GOOD,A000098,20,0,0.32,3,7,95000,1,2,0.93,5,0,0,,保证,否,自置,9,0.23,0,0.9769626647
GOOD,A000099,20,0,0.61,2,5,150000,1,2,0.92,3,0,0,527.08,保证,否,其他,3,0.33,0,1.7056540016
GOOD,A000100,20,0,0.74,2,6,4664,2,2,0.79,4,0,0,,保证,否,自置,2,0.23,0,0
GOOD,A000101,10/MISS,0,0.63,2,9,83000,0,1,1,8,0,0,,信用,否,自置,4,0.2,0,0
BAD,A000102,10/MISS,1,0.03,2,7,200000,0,1,0.83,1,0,0,,保证,否,自置,2,0.33,0,0
GOOD,A000103,20,0,,,,,,,,,,,,保证,,自置,12,10,0,16
GOOD,A000104,20,0,,,,,,,,,,,,保证,,自置,12,10,0,9.6
GOOD,A000105,20,0,,,,,,,,,,,,保证,,自置,13,10,0,11.5
GOOD,A000106,20,0,0.05,3,12,0,0,2,1,6,0,0,,保证,否,自置,3,10,0,9.1583579285
GOOD,A000107,20,0,,,,,,,,,,,,保证,,自置,13,10,0,6.2
GOOD,A000108,20,0,0.64,7,12,490341.3188,2,2,0.95,10,0,0,,保证,否,自置,21,0.23,0,0
GOOD,A000109,20,0,,,,,,,,,,,,保证,,自置,14,10,0,17.98
