bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000090,20,0,0.47,2,8,93720,0,0,1,7,0,0,,保证,否,自置,10,0.53,0,0
GOOD,A000091,20,0,0.53,0,8,200000,0,0,1,5,0,0,386.13,保证,否,自置,2,0.63,0,2.8806696981
GOOD,A000092,20,0,0.52,1,4,20000,0,1,0.99,8,0,1,,信用,否,自置,5,0.63,0,0
GOOD,A000093,20,0,0.62,2,7,126000,0,2,1,0,0,0,,保证,否,自置,10,0.07,0,2.7649072155
GOOD,A000094,10/MISS,0,0.36,2,1,100000,1,2,0.89,0,0,0,,抵押,否,自置,11,0.07,1.43,20
GOOD,A000095,20,0,0.55,4,12,100000,0,1,1,6,0,0,,保证,否,自置,10,0.5,0,1.9539827454
GOOD,A000096,20,0,0.71,3,4,100000,0,1,1,3,0,0,,保证,否,自置,3,1,0,2.2087012892
GOOD,A000097,10/MISS,0,0.61,0,1,64000,0,0,1,11,0,0,,信用,否,其他,3,1.56,0,0
GOOD,A000098,20,0,0.19,1,7,259000,0,2,0.98,8,0,0,252.95,保证,否,自置,2,0.5,0,1.06937964
GOOD,A000099,20,0,0.38,2,9,100000,0,1,0.98,7,0,1,,保证,否,自置,10,0.3,0,10.056543245
BAD,A000100,20,1,0.17,0,2,6100,6,1,0.96,10,0,0,,保证,否,自置,6,1,0,0
GOOD,A000101,20,0,0.05,2,3,80000,0,3,0.94,3,1,1,,抵押,否,自置,8,0.65,1.44,0.3494823293
GOOD,A000102,10/MISS,0,0.73,0,8,22000,0,0,1,6,0,2,,保证,否,自置,6,0.6,0,2.0363539054
GOOD,A000103,10/MISS,0,0,1,1,70000,0,3,1,2,0,0,76.73,保证,否,自置,1,10,0,0
GOOD,A000104,20,0,0.14,0,2,100000,0,2,0.9,4,0,0,,保证,否,自置,3,2,0,3.2450885585
GOOD,A000105,10/MISS,0,0.77,0,1,4480,0,1,0.9,1,0,0,,保证,否,自置,0,10,0,7.20136826
GOOD,A000106,20,0,0.84,6,9,80000,0,0,1,5,0,0,,保证,否,自置,6,0.27,0,4.1167406029
GOOD,A000107,10/MISS,0,0.52,0,5,0,0,0,1,7,0,0,,信用,否,其他,4,10,0,0
BAD,A000108,20,1,0.4,8,13,299000,0,1,0.99,11,0,0,,保证,否,自置,4,0.42,0,2.5892966225
BAD,A000109,20,1,0.8,0,1,100000,0,2,0.83,3,0,0,,保证,否,自置,14,0.25,0,3.896360799
GOOD,A000110,20,0,0.7,2,6,450000,0,1,0.97,3,0,0,,保证,否,自置,7,0.25,0,0
GOOD,A000111,20,0,0.38,7,8,259000,1,1,0.99,5,0,0,,抵押,否,自置,10,0.73,1.45,4.4723689982
GOOD,A000112,20,0,0.59,1,4,30000,0,2,0.9,3,0,3,,保证,否,自置,2,1.5,0,3.5828377684
GOOD,A000113,10/MISS,0,0.61,1,8,1500,0,1,1,2,0,0,,保证,否,自置,0,1,0,0
GOOD,A000114,20,0,0.06,0,4,3150,6,6,0.8,1,0,0,4497.63,保证,否,自置,6,10,0,20
GOOD,A000115,10/MISS,0,0.49,0,7,32000,0,1,1,3,0,0,,保证,否,自置,13,0.28,0,4.1065063487
GOOD,A000116,20,0,0.4,3,5,50000,1,1,0.96,4,0,0,,保证,否,自置,6,0.25,0,0
GOOD,A000117,20,0,0.29,2,2,50000,0,2,1,7,0,0,,保证,否,自置,2,0.5,2,0.8117805595
GOOD,A000118,20,0,0.84,0,6,200000,0,1,1,1,0,1,,保证,否,自置,3,0.75,0,9.2380952381
GOOD,A000119,20,0,0.89,2,7,100000,0,0,1,1,0,0,822.94,保证,否,自置,6,0.5,0,1.7788595879
GOOD,A000120,20,0,0.5,0,5,50000,0,1,0.96,4,0,2,,保证,否,自置,2,1,0,1.8201939599
GOOD,A000121,20,0,0,1,7,0,0,1,1,0,0,0,,信用,否,自置,11,10,0,2.7473684211
GOOD,A000122,20,0,0.74,4,5,0,0,2,0.94,6,0,0,,保证,否,自置,11,10,0,1.1071034689
GOOD,A000123,20,0,0.63,0,5,100000,0,1,0.99,9,0,0,5.11,信用,否,自置,6,0.26,0,0
BAD,A000124,20,1,0.93,3,4,30000,0,1,1,5,0,0,,保证,否,自置,1,1.17,0,0
GOOD,A000125,20,0,0.41,3,1,150000,0,2,0.96,6,0,0,,保证,否,自置,1,0.83,0,1.9350659866
GOOD,A000126,20,0,0.46,7,8,300000,1,2,0.96,4,0,0,,保证,否,自置,3,0.45,0,0
GOOD,A000127,20,0,0.3,3,4,160000,1,1,0.95,4,0,0,,保证,否,自置,8,0.25,0,0
GOOD,A000128,20,0,0.29,0,1,100000,1,3,0.79,5,0,0,,保证,否,自置,6,1,0,4.4172655006
GOOD,A000129,20,0,0.49,3,6,212000,1,1,0.98,6,0,2,,保证,否,自置,3,0.14,0,1.5493744981
GOOD,A000130,10/MISS,0,0.15,2,7,30000,1,2,0.96,5,1,0,974.1,保证,否,自置,1,0.91,0,0
GOOD,A000131,20,0,0.78,1,5,1000,0,0,1,1,0,0,0,保证,否,自置,1,1.67,0,0
GOOD,A000132,10/MISS,0,0.79,1,4,0,0,2,0.88,1,0,0,,保证,否,自置,10,10,0,1.5751347134
GOOD,A000133,20,0,0.48,0,9,350000,0,2,1,6,0,0,,抵押,否,自置,6,0.28,1.44,1.2706744681
GOOD,A000134,20,0,0.59,2,10,50000,1,2,0.96,5,0,0,,保证,否,自置,8,0.38,0,0
GOOD,A000135,20,0,0.51,0,5,490341.3188,0,1,1,1,0,0,,抵押,否,自置,1,0.1,1.5,2.2104413883
GOOD,A000136,20,0,0.55,2,2,60000,4,4,0.88,7,1,1,,保证,否,其他,13,0.79,0,0
GOOD,A000137,20,0,0.85,3,7,5000,0,1,0.97,2,1,0,,保证,否,自置,32,0.4,0,1.3635798601
BAD,A000138,20,1,0,0,1,40000,4,0,0.67,0,0,0,46.75,保证,否,自置,8,0.71,0,0
GOOD,A000139,20,0,0.25,5,5,80000,1,1,0.97,12,0,0,,保证,否,自置,12,0.34,0,1.4549664601
BAD,A000140,10/MISS,1,0.99,0,4,200000,0,1,1,4,0,0,,保证,否,自置,5,0.35,0,1.5547680447
GOOD,A000141,10/MISS,0,0.42,0,1,63000,0,1,1,5,0,0,,保证,否,自置,1,1,0,1.5192950471
GOOD,A000142,20,0,0.61,1,2,50000,0,1,1,1,0,0,,信用,否,其他,2,0.6,0,0
GOOD,A000143,10/MISS,0,0.74,1,2,240000,0,1,1,6,0,0,,抵押,否,自置,1,1.05,1.75,2.7125680353
GOOD,A000144,20,0,0.71,0,7,75000,1,1,0.97,6,0,0,,抵押,否,自置,1,0.12,1.5,8.0190532706
GOOD,A000145,20,0,0.4,3,5,100000,0,1,1,4,0,1,,保证,否,自置,13,1.67,0,0
GOOD,A000146,20,0,0.17,1,2,294000,1,3,0.89,3,0,0,,保证,否,自置,5,0.67,0,15.852592736
GOOD,A000147,20,0,0.55,3,10,3000,0,1,1,9,1,0,,保证,否,自置,5,0.22,0,1.1979668898
GOOD,A000148,20,0,0.66,2,7,52000,0,2,1,6,0,3,105.48,保证,否,自置,5,0.5,0,3.0070795244
